broker_name,ap_code,exchange_name,reference_link,status,notes
123 CAPITALS,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
4A SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
5PAISA CAPITAL LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
A C AGARWAL SHARE BROKERS PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
A TO Z STOCK TRADE PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
A. C. CHOKSI SHARE BROKERS PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
A. K. EQUITIES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
A. K. STOCKMART PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
A.P.T. RESEARCH PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AARAYAA FINSTOCK PVT LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AARITYA BROKING PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AARUSH EQUITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
AARYA EQUITY (INDIA) PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABANS BROKING SERVICES PVT LTD,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABANS SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABANS SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABBOTT WEALTH MANAGEMENT LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABHINANDAN STOCK BROKING PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABHIPRA CAPITAL LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABIRA SECURITIES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ABSOLUTE BROKING PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ACCORD CAPITAL MARKETS LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ACEMONEY INTERMEDIARIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ACHIEVERS SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
